policy_number,age,months_as_customer,policy_state,policy_csl,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,capital-gains,capital-loss,incident_type,incident_severity,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,property_damage,police_report_available,total_claim_amount,auto_make,auto_year,vehicle_claim,property_claim,injury_claim,fraud_reported
POL71012269,53,178,PA,250/500,1500,4031.83,F,MS,Legal,10779.517297872748,3733.4320170469914,Multi-Vehicle Collision,Minor Damage,11,1,0,1,YES,YES,4431.27,Toyota,2019,3199.25,1212.68,999.3,N
POL16697848,57,48,PA,100/300,1500,2896.63,M,High School,Medical,23134.73732442327,26904.765071872804,Broken Windshield,Major Damage,1,1,0,1,YES,NO,9040.09,Chevrolet,2010,4821.18,947.05,619.53,N
POL01845146,41,170,IN,100/300,1000,3191.47,M,High School,Tech,22724.242874359064,8335.99036715418,Hit and Run,Minor Damage,14,1,1,1,NO,NO,1434.28,Toyota,2011,927.87,284.01,61.4,N
POL27048281,20,219,PA,100/300,1500,560.09,M,High School,Retail,8893.499443486413,21169.982710479013,Multi-Vehicle Collision,Trivial Damage,22,1,1,0,YES,NO,4327.19,Nissan,2008,2698.37,1107.57,312.42,N
POL48932528,39,219,OH,250/500,500,2859.29,F,PhD,Finance,42667.36191944151,19739.674885785134,Single Vehicle Collision,Trivial Damage,13,1,1,0,NO,NO,2496.7,Audi,2017,1216.04,406.0,622.71,N
POL80957015,70,71,NY,100/300,2000,3090.04,F,PhD,Legal,26124.641619394562,21419.247983231027,Hit and Run,Major Damage,10,1,0,0,YES,YES,10282.19,Mazda,2017,7439.88,3228.07,2301.59,N
POL43039117,19,214,PA,100/300,1500,3515.21,F,High School,Finance,28311.934530898074,15901.267762213942,Hit and Run,Total Loss,22,2,2,2,YES,YES,2794.42,Mercedes,2008,1266.65,521.56,490.27,N
POL18227824,41,220,NY,500/1000,1000,1262.26,M,PhD,Medical,12921.3982975682,21890.423379246273,Broken Windshield,Trivial Damage,0,3,0,2,NO,YES,1816.28,Mazda,2008,951.19,346.12,447.71,N
POL89638346,61,132,IN,500/1000,1500,1586.18,F,BS,Other,27957.926643436003,15371.76320624793,Multi-Vehicle Collision,Trivial Damage,15,2,0,0,NO,NO,3359.88,Mercedes,2009,2042.06,1204.22,834.14,N
POL57871331,47,41,PA,500/1000,500,3902.02,F,High School,Construction,39626.99473915821,11328.2149082216,Fire Damage,Major Damage,23,1,1,0,YES,YES,1887.56,BMW,2007,1173.96,714.79,544.0,N
POL50983930,55,9,IL,100/300,1000,1254.37,F,High School,Retail,15246.575850049454,25753.234766990226,Hit and Run,Trivial Damage,6,3,1,0,YES,YES,5587.974393695035,BMW,2016,710.18,224.82,11.27,Y
POL10310518,19,41,IN,100/300,2000,2372.12,M,BS,Education,5664.758512002399,13761.786067889137,Single Vehicle Collision,Major Damage,12,3,0,1,YES,NO,7237.72,BMW,2015,3099.77,2191.16,232.12,N
POL34738299,38,163,OH,250/500,1000,1627.21,F,PhD,Other,29202.008513393364,17041.11257871713,Theft,Minor Damage,1,1,1,0,YES,YES,3920.27,Mercedes,2008,2622.6,827.04,1137.15,N
POL73763116,50,104,OH,100/300,1000,2953.33,M,High School,Other,31791.529436627854,13950.159993522007,Broken Windshield,Total Loss,16,1,0,2,NO,NO,9820.84,Chevrolet,2016,6125.14,3724.74,2271.24,N
POL56670106,29,26,NY,100/300,1000,4940.92,M,BS,Retail,10103.202484865664,23264.95984637317,Vehicle Rollover,Major Damage,17,1,0,1,NO,NO,2647.85,Nissan,2020,1354.49,763.19,745.81,N
POL51333872,39,57,NY,250/500,1500,4334.17,F,MS,Medical,12415.232638404234,16192.621158102264,Single Vehicle Collision,Major Damage,22,2,0,1,NO,NO,928.67,Mercedes,2012,742.19,163.18,97.78,N
POL62473178,61,11,IL,100/300,2000,1712.63,F,BS,Retail,7653.4435517688735,14123.37238644262,Broken Windshield,Trivial Damage,13,1,0,0,YES,YES,325.2,Mercedes,2022,241.09,125.72,64.91,Y
POL10801326,42,65,IL,250/500,500,2158.75,M,High School,Legal,46069.07404226466,7734.760714867162,Theft,Minor Damage,3,1,0,1,YES,YES,4769.54,BMW,2018,1932.89,1500.52,639.34,N
POL77360260,66,24,OH,250/500,1500,4633.85,F,BS,Other,10650.600199486587,27346.252316123562,Broken Windshield,Trivial Damage,5,1,2,0,YES,NO,2101.15,Chevrolet,2015,1467.38,646.36,225.82,N
POL64746872,44,72,PA,500/1000,2000,4542.33,M,PhD,Tech,531.9056470431071,25895.106219724767,Hit and Run,Major Damage,15,1,1,1,NO,NO,9566.79,Nissan,2015,6323.98,1237.36,2769.03,N
POL34309805,59,116,OH,100/300,2000,1222.38,M,High School,Medical,42007.64082634694,12944.809816570485,Hit and Run,Trivial Damage,20,1,1,1,YES,YES,1726.25,Chevrolet,2025,1033.19,440.69,130.31,N
POL00978820,45,154,OH,500/1000,1500,4231.72,M,High School,Other,40161.37334033519,19791.58216988589,Multi-Vehicle Collision,Minor Damage,10,1,2,1,NO,YES,500.42,BMW,2016,393.06,53.91,40.63,N
POL81219136,33,4,IL,100/300,1000,1839.24,F,PhD,Legal,22826.748632831983,15243.394111032569,Parked Car Damage,Major Damage,14,2,1,0,NO,NO,6492.93,Audi,2012,3887.85,2368.99,239.27,Y
POL19399091,32,86,NY,500/1000,2000,2947.11,M,PhD,Other,39858.11764770777,5285.501172259404,Parked Car Damage,Trivial Damage,22,2,1,0,YES,NO,13693.9810770768,BMW,2025,1152.62,833.57,263.05,Y
POL69985435,64,73,IL,250/500,500,522.94,M,PhD,Legal,22480.835136398007,11280.873859583877,Theft,Trivial Damage,6,2,1,2,YES,YES,1121.46,Audi,2024,617.19,148.99,96.65,N
POL34624751,68,169,IL,250/500,1500,4993.66,F,MS,Legal,11225.724043158214,25596.53127842109,Vehicle Rollover,Trivial Damage,13,1,1,0,NO,YES,28778.766130467542,Mercedes,2010,3342.33,569.48,714.67,Y
POL07991183,61,179,IL,250/500,2000,3924.93,M,High School,Education,21302.727856955535,23923.141493502706,Multi-Vehicle Collision,Total Loss,14,1,1,2,YES,YES,3885.48,Mercedes,2015,1730.36,867.02,820.53,N
POL84251354,72,152,OH,250/500,500,1587.8,M,High School,Finance,24343.71472504771,3074.738754430181,Broken Windshield,Total Loss,6,2,0,1,YES,YES,9592.73,Toyota,2013,4650.66,3770.97,2805.55,N
POL27849808,69,181,PA,100/300,500,3577.08,F,High School,Legal,450.1706794005578,2259.640469363172,Single Vehicle Collision,Trivial Damage,10,2,0,1,NO,YES,2520.86,Nissan,2010,1208.02,254.62,327.49,N
POL41241182,74,124,OH,100/300,500,1819.88,M,BS,Other,5666.475657272074,25605.502248505134,Multi-Vehicle Collision,Trivial Damage,10,2,0,2,YES,YES,1739.13,Ford,2010,1240.87,392.02,70.24,N
POL44935348,20,66,IN,500/1000,500,902.55,F,High School,Retail,43738.254941058665,26979.246153585234,Multi-Vehicle Collision,Trivial Damage,8,3,1,2,YES,NO,1820.04,Honda,2011,849.9,607.8,384.73,N
POL74016400,54,5,IL,100/300,1500,2413.89,F,High School,Legal,19621.27133023404,8826.994345195279,Single Vehicle Collision,Minor Damage,19,3,1,0,YES,NO,6796.69,Mercedes,2015,3593.35,1314.77,1537.06,N
POL52427868,68,124,IL,100/300,500,3261.73,M,PhD,Construction,16573.35860070625,10478.5957062002,Theft,Major Damage,18,3,1,0,YES,NO,5371.63,Toyota,2015,2578.44,1501.22,327.63,N
POL01128059,24,57,IN,500/1000,1500,904.0,F,PhD,Finance,44417.82700891626,10074.084199636007,Fire Damage,Major Damage,18,1,0,1,YES,NO,5927.36,Toyota,2016,3103.44,1332.9,551.2,N
POL82620450,38,7,IL,250/500,500,2832.83,M,PhD,Legal,7728.483314452239,3809.0514460303725,Theft,Trivial Damage,23,2,2,0,NO,YES,2389.82,Ford,2025,1597.91,781.54,158.42,Y
POL53315869,26,52,IL,500/1000,500,2816.89,F,High School,Medical,10849.365389138504,22350.318218747303,Multi-Vehicle Collision,Trivial Damage,9,3,1,1,NO,YES,2819.6,Toyota,2018,1675.3,289.07,635.73,N
POL23226025,56,65,IL,500/1000,1500,3328.9,M,PhD,Finance,41397.52625376955,11102.580082519586,Fire Damage,Trivial Damage,2,2,0,1,YES,NO,1878.1,Toyota,2010,1091.36,637.24,198.07,N
POL63421607,35,57,IN,250/500,1000,1600.91,F,MS,Construction,13982.73393179011,25086.814504371636,Hit and Run,Minor Damage,8,2,0,1,YES,NO,7017.73,Chevrolet,2010,5415.45,934.83,2094.53,N
POL33754330,21,81,OH,500/1000,2000,592.89,M,PhD,Construction,31661.61303346065,26355.57755562861,Vehicle Rollover,Trivial Damage,15,2,1,1,YES,NO,635.28,Ford,2008,489.39,155.38,107.89,N
POL36541458,42,86,IL,500/1000,2000,1961.86,M,MS,Construction,36978.58290255643,27383.80327796011,Parked Car Damage,Trivial Damage,13,1,0,0,YES,NO,1312.56,Ford,2008,558.82,174.67,310.3,N
POL68501429,31,1,PA,500/1000,1500,2293.62,F,BS,Construction,11136.014835028762,24538.263391904205,Theft,Minor Damage,16,1,0,2,NO,YES,7221.97,Nissan,2012,3956.48,1699.64,811.32,Y
POL40196556,67,203,IN,100/300,500,3360.83,M,MS,Tech,12670.390962693435,23667.321875927773,Single Vehicle Collision,Trivial Damage,5,1,0,1,YES,YES,1311.36,Mercedes,2024,818.58,490.07,235.33,N
POL98169340,26,149,NY,250/500,1500,4685.77,M,MS,Construction,25814.754807054986,13484.638142525762,Theft,Minor Damage,6,3,3,0,YES,YES,6498.47,Mazda,2019,3999.7,1338.23,449.6,N
POL60883561,43,36,IN,250/500,500,1415.23,F,BS,Medical,39610.68525110215,808.424128170282,Parked Car Damage,Trivial Damage,0,1,0,2,NO,NO,3250.8,Audi,2011,2161.26,1016.91,546.14,N
POL59514846,70,147,OH,500/1000,1500,3593.0,F,MS,Medical,27718.87681235502,3361.8784756145847,Theft,Total Loss,20,1,0,0,YES,YES,18687.85,Toyota,2012,8199.81,7454.66,368.48,N
POL56482366,19,102,IN,100/300,2000,938.3,F,High School,Retail,3366.820147036226,15926.260692105114,Hit and Run,Minor Damage,13,2,1,1,NO,NO,5186.69,Honda,2013,2713.33,1112.38,1343.28,N
POL29946804,37,23,NY,250/500,1500,1357.8,M,High School,Other,17541.858971689817,10800.766004910874,Parked Car Damage,Minor Damage,11,2,0,2,YES,YES,3416.05,Mercedes,2008,1498.76,1340.1,99.15,N
POL43699577,45,111,PA,250/500,2000,2791.11,M,PhD,Legal,16531.893640640006,24872.453419559108,Hit and Run,Minor Damage,5,2,2,2,NO,YES,7351.13,Mazda,2013,5859.14,2545.39,517.94,N
POL73872148,64,211,NY,500/1000,2000,3687.7,M,PhD,Medical,40380.09532176145,16894.19671353751,Parked Car Damage,Major Damage,22,1,1,0,NO,YES,4048.6273292872,BMW,2018,414.08,348.94,195.63,Y
POL95134332,24,64,IN,500/1000,2000,4363.56,F,PhD,Tech,14483.182401291939,2965.00835201455,Fire Damage,Total Loss,19,1,1,0,NO,NO,13035.47,Chevrolet,2022,8164.41,4952.09,1970.53,N
POL00379176,61,192,NY,500/1000,1500,3847.57,M,PhD,Retail,45060.87264272077,14355.932891230246,Fire Damage,Minor Damage,20,2,0,0,YES,YES,2873.84,Audi,2011,1947.15,335.46,821.23,N
POL93676320,25,208,IN,250/500,1000,569.09,M,High School,Tech,16749.210287320708,24658.89241279483,Vehicle Rollover,Minor Damage,4,2,1,0,NO,NO,4504.54,BMW,2009,3585.63,809.81,95.07,N
POL16328708,64,128,PA,500/1000,1500,3577.69,M,PhD,Education,9705.40982212521,25892.434800413663,Hit and Run,Trivial Damage,21,1,0,1,NO,NO,4233.07,Audi,2017,2853.74,1545.6,999.71,N
POL31727889,52,2,PA,500/1000,1500,4210.96,F,MS,Retail,26996.99545676852,4981.719079984042,Single Vehicle Collision,Trivial Damage,13,1,0,0,YES,NO,4355.34,Ford,2023,2495.19,859.62,959.07,Y
POL57986872,31,115,OH,500/1000,1000,2864.9,F,BS,Medical,19319.364312478243,3008.9926009490864,Single Vehicle Collision,Major Damage,2,1,0,2,NO,YES,4336.9,Toyota,2008,2410.2,1627.93,364.7,N
POL77434873,34,236,PA,100/300,1000,4845.19,M,MS,Medical,32379.516737427704,11609.71757930017,Multi-Vehicle Collision,Minor Damage,14,1,0,0,NO,YES,7063.34,Nissan,2020,4081.53,2230.09,521.8,N
POL47143455,53,221,IL,500/1000,2000,519.41,F,BS,Medical,45785.64725547899,1965.4633670940814,Multi-Vehicle Collision,Major Damage,19,2,1,1,YES,YES,11852.68,BMW,2020,8704.0,3392.74,1141.56,N
POL81223623,67,104,NY,250/500,500,4183.96,F,High School,Education,47038.76993567546,21790.78532673324,Vehicle Rollover,Minor Damage,20,2,0,2,YES,YES,3856.24,Honda,2008,2736.81,1436.82,481.7,Y
POL16658760,57,238,NY,500/1000,500,2006.69,M,BS,Tech,11368.229862153163,13425.980753880745,Fire Damage,Trivial Damage,17,1,0,2,YES,NO,855.73,Mazda,2006,664.12,145.15,190.11,N
POL36690967,21,2,IN,250/500,2000,3427.02,F,PhD,Medical,8113.564049145711,5946.682657648555,Parked Car Damage,Major Damage,11,1,0,2,YES,YES,11679.81,Toyota,2023,7717.91,3822.95,2066.32,N
POL05466889,19,45,PA,100/300,1500,3620.67,F,High School,Construction,46997.853451483556,3074.067941199371,Broken Windshield,Minor Damage,19,1,1,0,NO,YES,6777.28,Ford,2011,5206.62,897.39,601.44,N
POL37346706,23,54,OH,100/300,500,1878.12,F,PhD,Other,40621.3903755413,27820.562086181577,Fire Damage,Major Damage,22,3,0,1,YES,YES,8167.21,Honda,2009,6507.98,2468.03,82.99,N
POL56272980,71,74,OH,500/1000,1500,4979.41,M,MS,Other,13083.799636517202,1291.7950797964118,Parked Car Damage,Minor Damage,15,2,0,0,YES,NO,695.07,Mazda,2025,434.08,193.05,177.34,N
POL69901627,59,215,OH,250/500,1000,964.63,F,MS,Finance,40247.71917963941,2936.3517740334755,Theft,Trivial Damage,3,1,1,1,YES,NO,1801.03,Nissan,2016,1243.32,333.5,287.96,N
POL20465375,21,213,IL,500/1000,1000,1206.63,F,PhD,Construction,37052.73048236266,7027.0859739596035,Broken Windshield,Minor Damage,23,1,1,0,NO,NO,1579.73,BMW,2010,764.29,554.42,421.12,N
POL56464170,71,191,PA,500/1000,2000,4514.86,M,BS,Legal,12678.099938466836,2840.111713070158,Broken Windshield,Major Damage,0,2,1,0,YES,YES,2923.99,BMW,2025,2311.5,1140.91,83.07,N
POL80531003,46,235,OH,250/500,1500,1036.31,M,MS,Medical,45289.21781935173,19328.525602363014,Hit and Run,Major Damage,8,1,1,1,YES,YES,8490.94,Mercedes,2017,4684.87,2260.84,581.11,N
POL30923271,35,8,IL,250/500,2000,2215.79,M,BS,Retail,16090.232242506225,6546.567821656469,Broken Windshield,Major Damage,4,1,0,0,YES,YES,48557.60970930934,Chevrolet,2008,3562.5,1089.68,796.87,Y
POL93745299,43,153,NY,250/500,500,3799.14,M,MS,Other,24008.95397336369,14397.901246048914,Vehicle Rollover,Major Damage,17,1,1,0,YES,NO,4596.58,BMW,2017,2766.99,525.61,456.05,N
POL12419049,61,6,IN,250/500,500,4061.71,M,PhD,Retail,30463.07667008305,25807.29402787309,Fire Damage,Minor Damage,22,1,0,0,YES,YES,35237.193927846536,Mercedes,2016,1588.52,1316.94,361.35,Y
POL66319314,51,192,PA,250/500,500,4796.01,F,PhD,Finance,9563.162706961803,24743.161239805166,Broken Windshield,Minor Damage,3,2,2,1,NO,NO,13187.502092660894,BMW,2012,890.71,206.32,384.37,Y
POL91905865,27,23,PA,100/300,1500,4053.08,M,MS,Legal,30564.400484402915,4387.317342465819,Hit and Run,Major Damage,7,3,2,1,NO,YES,5711.05,Nissan,2014,4406.19,1311.16,466.0,N
POL18506716,53,201,NY,100/300,2000,4300.4,F,MS,Legal,35313.59875043006,2661.9387207939835,Theft,Major Damage,23,1,2,0,NO,YES,11284.1,Ford,2009,5104.69,1580.57,1016.67,N
POL57262849,31,34,PA,100/300,2000,4772.19,M,BS,Education,5077.354317008476,19927.53793814128,Single Vehicle Collision,Minor Damage,9,2,0,2,YES,YES,6071.19,Audi,2013,3216.16,1827.15,562.38,N
POL87769453,48,23,PA,250/500,500,2991.59,F,BS,Retail,18967.41778453071,6309.155628194816,Fire Damage,Minor Damage,6,3,1,1,YES,YES,792.03,Chevrolet,2012,395.96,189.43,71.02,N
POL14737996,65,27,PA,250/500,2000,2045.45,M,BS,Education,30602.979928617922,23443.570838595697,Single Vehicle Collision,Trivial Damage,2,1,2,2,YES,YES,2110.24,Ford,2016,1253.48,780.26,122.08,N
POL50752735,32,227,PA,250/500,1000,3927.26,F,PhD,Education,46310.844458451924,13034.65808595356,Parked Car Damage,Major Damage,9,3,2,1,YES,YES,10421.37,Chevrolet,2007,7221.86,1669.87,2249.58,N
POL45494808,25,207,IL,500/1000,1000,1235.94,M,MS,Finance,44549.173807750725,4635.594435467392,Multi-Vehicle Collision,Major Damage,15,1,2,0,NO,YES,3613.83,Mazda,2016,1482.56,549.32,369.52,N
POL31367837,31,2,IL,100/300,1000,807.04,F,High School,Retail,8483.365763563288,29226.486407167624,Multi-Vehicle Collision,Minor Damage,23,1,1,0,YES,NO,62684.25366155041,BMW,2022,3328.27,2034.39,555.93,Y
POL77014363,40,15,IN,100/300,1000,4033.99,F,BS,Construction,30525.394763641416,1668.425964561846,Single Vehicle Collision,Minor Damage,2,1,0,0,YES,NO,4636.36,Toyota,2013,2810.52,647.38,1150.87,N
POL49578856,74,58,PA,500/1000,2000,4778.02,M,High School,Legal,4900.89162700752,3728.8285391401687,Hit and Run,Major Damage,16,2,1,2,YES,NO,902.65,Honda,2012,492.6,147.62,142.59,N
POL85574443,57,208,NY,500/1000,1000,2491.01,F,PhD,Medical,14693.9445742302,24361.10927928695,Parked Car Damage,Major Damage,22,3,0,2,NO,YES,10693.97,Toyota,2015,7705.05,1974.16,1877.77,N
POL13518233,38,181,OH,100/300,1000,1225.1,F,BS,Construction,29863.513106200186,13580.556855749548,Hit and Run,Trivial Damage,9,1,2,0,YES,NO,4066.69,Mazda,2010,3020.53,777.69,730.46,N
POL74989413,33,206,IN,250/500,1000,2736.59,M,BS,Construction,4068.2375749311827,28141.55211941156,Multi-Vehicle Collision,Minor Damage,23,2,0,2,YES,YES,6278.58,Honda,2019,2754.14,1120.07,1165.08,N
POL43524082,62,143,OH,100/300,1000,2269.93,F,High School,Construction,44443.10302307871,3389.6678114704528,Theft,Trivial Damage,22,1,0,0,YES,YES,24523.879782037577,Audi,2007,1561.39,509.58,316.33,Y
POL40084271,35,14,OH,250/500,1000,2176.13,F,High School,Legal,41449.43252674181,4709.51168654427,Vehicle Rollover,Trivial Damage,7,1,0,1,YES,NO,3360.35,BMW,2009,1704.39,615.61,603.11,N
POL09477752,64,225,PA,100/300,1500,3326.36,M,MS,Education,23669.498625053497,54.733654129178746,Fire Damage,Minor Damage,7,1,1,1,YES,YES,1405.76,Ford,2018,657.02,405.49,352.47,N
POL04711671,70,10,NY,100/300,1500,1286.31,F,High School,Education,24587.712751292573,6513.472215289693,Fire Damage,Minor Damage,14,2,1,2,YES,NO,6525.08,Toyota,2011,4602.56,1879.24,1214.21,N
POL90229413,41,192,OH,500/1000,1000,2212.17,M,PhD,Retail,44068.14393878341,19717.816713396496,Multi-Vehicle Collision,Trivial Damage,16,1,1,1,NO,NO,4285.41,Audi,2011,3335.84,1050.41,450.27,N
POL18699938,43,78,OH,500/1000,1000,4409.05,F,BS,Retail,2521.8675912903723,21699.913273509195,Hit and Run,Minor Damage,0,1,0,1,NO,NO,2800.23,Nissan,2006,2093.74,1000.15,92.37,N
POL67749649,42,217,IN,250/500,2000,3783.49,F,High School,Construction,7194.045984397129,12898.184919148456,Multi-Vehicle Collision,Trivial Damage,9,1,0,2,YES,YES,1397.51,Audi,2008,780.03,171.49,164.44,N
POL90913341,62,114,NY,250/500,1000,750.15,F,PhD,Finance,15400.219779339324,7720.747101556159,Multi-Vehicle Collision,Minor Damage,15,2,2,0,NO,YES,2227.17,Audi,2010,926.15,578.92,656.86,N
POL23281206,58,2,NY,100/300,500,2812.57,F,High School,Tech,18219.213529281387,21489.892754539538,Multi-Vehicle Collision,Major Damage,4,1,2,0,YES,YES,4585.07,Ford,2007,2451.37,1061.61,809.88,Y
POL79740344,46,42,OH,500/1000,1500,910.83,M,High School,Construction,49372.338879752584,5178.29235368485,Multi-Vehicle Collision,Trivial Damage,10,1,0,1,YES,YES,629.25,Mazda,2009,280.0,79.14,186.68,N
POL71349361,32,7,NY,250/500,1000,4808.73,M,High School,Construction,7373.094259628665,23012.577056571597,Parked Car Damage,Minor Damage,18,1,0,1,YES,YES,26244.993590317852,BMW,2016,3427.43,1689.49,378.21,Y
POL83242102,62,226,IN,250/500,1500,1600.88,F,MS,Legal,15155.19403500709,23597.690398686555,Single Vehicle Collision,Trivial Damage,0,1,3,0,NO,NO,1654.38,Ford,2022,1036.05,264.84,105.09,N
POL49947174,18,140,IN,250/500,1000,4696.79,F,BS,Legal,41397.49641786537,13232.224970026778,Multi-Vehicle Collision,Minor Damage,10,1,0,1,YES,YES,1062.11,Ford,2009,435.42,251.02,104.21,N
POL64887719,42,137,IN,100/300,500,4253.04,M,BS,Tech,39217.734099705405,5808.224874610829,Theft,Major Damage,17,1,2,1,YES,NO,11876.25,Honda,2012,7239.05,3528.73,3184.47,N
POL06594013,24,74,PA,250/500,1000,2981.14,M,BS,Legal,32740.8355113782,18896.216885205056,Broken Windshield,Trivial Damage,7,3,0,0,NO,NO,1200.77,Mercedes,2021,504.97,228.36,5.35,N
POL99049027,26,209,OH,250/500,1500,2013.37,M,MS,Tech,16427.587147226284,25603.63309010045,Multi-Vehicle Collision,Major Damage,20,3,2,0,YES,YES,9966.86,Audi,2018,4045.45,2285.6,1937.36,N
POL87429671,41,225,NY,500/1000,1500,4360.76,F,High School,Education,5888.845920320734,15885.219441374637,Parked Car Damage,Trivial Damage,13,1,0,2,YES,NO,2368.47,Chevrolet,2006,1185.55,936.4,470.13,N
POL75655125,18,102,IN,500/1000,1500,1187.53,F,BS,Finance,49177.32723986127,13832.038128410577,Parked Car Damage,Minor Damage,19,1,0,2,NO,NO,3131.4,Chevrolet,2006,2176.18,801.29,77.58,N
POL67468071,61,40,OH,500/1000,2000,1309.88,F,BS,Legal,12571.320633410522,29376.716721269815,Vehicle Rollover,Major Damage,1,1,1,2,YES,NO,8278.57,Ford,2009,3927.82,2502.71,2310.65,N
POL54516808,25,233,OH,100/300,1500,1511.25,M,High School,Tech,42231.8243599386,16122.766828120111,Parked Car Damage,Major Damage,7,1,0,1,NO,YES,10451.96,Nissan,2019,6744.16,1158.23,2184.15,N
POL76038597,41,177,PA,500/1000,1000,3189.64,F,BS,Construction,44750.41089448622,1026.492453981187,Vehicle Rollover,Major Damage,21,1,0,1,NO,NO,1428.23,Audi,2014,900.89,312.83,187.0,N
POL70348247,28,214,NY,500/1000,500,1914.46,M,High School,Retail,22044.983272022517,15061.499789282712,Theft,Minor Damage,10,2,0,0,YES,YES,811.19,Nissan,2025,491.17,250.51,237.34,N
POL71093248,68,198,NY,500/1000,500,4951.32,M,MS,Legal,42541.53260597969,13358.141209042904,Vehicle Rollover,Major Damage,7,1,1,0,NO,NO,11831.39,Mazda,2012,9159.11,4316.56,1870.74,N
POL08613171,34,58,IN,500/1000,1000,1378.01,F,BS,Construction,13951.84949825531,8763.120015643886,Theft,Minor Damage,0,3,0,0,NO,YES,11819.001282711837,Mazda,2021,976.61,290.11,233.82,Y
POL27484677,25,38,IN,250/500,2000,4125.25,M,BS,Legal,44495.55636726932,9520.603517359808,Multi-Vehicle Collision,Minor Damage,14,1,1,0,YES,NO,882.99,Chevrolet,2008,505.08,207.22,138.36,N
POL37826398,52,2,OH,100/300,1000,931.26,F,High School,Education,31798.315794085065,27924.761880684906,Broken Windshield,Minor Damage,18,1,0,0,NO,NO,2800.16,BMW,2021,1708.49,293.07,588.8,N
POL21465840,52,203,NY,250/500,1500,2090.51,M,PhD,Education,9718.610066761052,4007.9081451902966,Fire Damage,Trivial Damage,16,2,0,0,YES,NO,1060.13,Mercedes,2025,688.46,309.99,309.06,N
